Year,Age,Population,DNumber,Rate,,,,,,
1989,70+ years,20719397,4943,23.9,,,,,,
1990,<13 years,47472527,2332,4.9,,,,,,
1990,13-19 years,24404795,6364,26.1,,,,,,
1990,20-34 years,62282683,16366,26.3,,,,,,
1990,35-69 years,94140108,14568,15.5,,,,,,
1990,70+ years,21164283,4844,22.9,,,,,,
1991,<13 years,48240747,2257,4.7,,,,,,
1991,13-19 years,24066587,5760,23.9,,,,,,
1991,20-34 years,62025750,14949,24.1,,,,,,
1991,35-69 years,96068111,13587,14.1,,,,,,
1991,70+ years,21751897,4843,22.3,,,,,,
1992,<13 years,48903668,2165,4.4,,,,,,
1992,13-19 years,24163175,5215,21.6,,,,,,
1992,20-34 years,61427100,13445,21.9,,,,,,
1992,35-69 years,98214539,13414,13.7,,,,,,
1992,70+ years,22321217,4901,22,,,,,,
1993,<13 years,49335864,2164,4.4,,,,,,
1993,13-19 years,24664091,5421,22,,,,,,
1993,20-34 years,60582332,13456,22.2,,,,,,
1993,35-69 years,100399648,13748,13.7,,,,,,
1993,70+ years,22800673,5221,22.9,,,,,,
1994,<13 years,49692462,2301,4.6,,,,,,
1994,13-19 years,25219838,5632,22.3,,,,,,
1994,20-34 years,59629351,13020,21.8,,,,,,
1994,35-69 years,102541525,14251,13.9,,,,,,
1994,70+ years,23243845,5425,23.3,,,,,,
1995,<13 years,49920484,2201,4.4,,,,,,
1995,13-19 years,25764300,5675,22,,,,,,
1995,20-34 years,58712407,13330,22.7,,,,,,
1995,35-69 years,104712328,15018,14.3,,,,,,
1995,70+ years,23693757,5509,23.3,,,,,,
1996,<13 years,50085188,2186,4.4,,,,,,
1996,13-19 years,26357198,5819,22.1,,,,,,
1996,20-34 years,57753910,12869,22.3,,,,,,
1996,35-69 years,106975953,15496,14.5,,,,,,
1996,70+ years,24056323,5578,23.2,,,,,,
1997,<13 years,50364983,2108,4.2,,,,,,
1997,13-19 years,26730812,5730,21.4,,,,,,
1997,20-34 years,57046569,12334,21.6,,,,,,
1997,35-69 years,109232426,15860,14.5,,,,,,
1997,70+ years,24408817,5872,24.1,,,,,,
1998,<13 years,50527476,2032,4,,,,,,
1998,13-19 years,27174728,5610,20.6,,,,,,
1998,20-34 years,56421053,11785,20.9,,,,,,
1998,35-69 years,111331195,16185,14.5,,,,,,
1998,70+ years,24793551,5798,23.4,,,,,,
1999,<13 years,50667139,1997,3.9,,,,,,
1999,13-19 years,27518156,5752,20.9,,,,,,
1999,20-34 years,55961401,11840,21.2,,,,,,
1999,35-69 years,113451312,16384,14.4,,,,,,
1999,70+ years,25092805,5657,22.5,,,,,,
2000,<13 years,52219423,1888,3.6,,,,,,
2000,13-19 years,28326412,5685,20.1,,,,,,
2000,20-34 years,58971709,12174,20.6,,,,,,
2000,35-69 years,117114739,16700,14.3,,,,,,
2000,70+ years,25559879,5379,21,,,,,,
2001,<13 years,52341395,1751,3.3,,,,,,
2001,13-19 years,28437711,5594,19.7,,,,,,
2001,20-34 years,59465066,12375,20.8,,,,,,
2001,35-69 years,119060436,16934,14.2,,,,,,
2001,70+ years,25797467,5425,21,,,,,,
2002,<13 years,52332306,1617,3.1,,,,,,
2002,13-19 years,28644313,5954,20.8,,,,,,
2002,20-34 years,60046068,12609,21,,,,,,
2002,35-69 years,120913207,17374,14.4,,,,,,
2002,70+ years,26005326,5332,20.5,,,,,,
2003,<13 years,52187602,1643,3.1,,,,,,
2003,13-19 years,29028500,5718,19.7,,,,,,
2003,20-34 years,60599350,12365,20.4,,,,,,
2003,35-69 years,122772578,17705,14.4,,,,,,
2003,70+ years,26200946,5363,20.5,,,,,,
2004,<13 years,52151406,1645,3.2,,,,,,
2004,13-19 years,29400392,5645,19.2,,,,,,
2004,20-34 years,61003240,12620,20.7,,,,,,
2004,35-69 years,124762848,17707,14.2,,,,,,
2004,70+ years,26337518,5106,19.4,,,,,,
2005,<13 years,52149395,1529,2.9,,,,,,
2005,13-19 years,29589854,5300,17.9,,,,,,
2005,20-34 years,61180772,13023,21.3,,,,,,
2005,35-69 years,126831714,18491,14.6,,,,,,
2005,70+ years,26658669,5047,18.9,,,,,,
2006,<13 years,52306908,1430,2.7,,,,,,
2006,13-19 years,29772198,5159,17.3,,,,,,
2006,20-34 years,61527219,13142,21.4,,,,,,
2006,35-69 years,128907361,18233,14.1,,,,,,
2006,70+ years,26884798,4636,17.2,,,,,,
2007,<13 years,52585809,1269,2.4,,,,,,
2007,13-19 years,29775943,4981,16.7,,,,,,
2007,20-34 years,61623322,12531,20.3,,,,,,
2007,35-69 years,130500566,17725,13.6,,,,,,
2007,70+ years,27135517,4631,17.1,,,,,,
2008,<13 years,52929779,1047,2,,,,,,
2008,13-19 years,29710307,4070,13.7,,,,,,
2008,20-34 years,61990546,11406,18.4,,,,,,
2008,35-69 years,131908058,16538,12.5,,,,,,
2008,70+ years,27521034,4291,15.6,,,,,,
2009,<13 years,53753412,1066,2,,,,,,
2009,13-19 years,29667279,3480,11.7,,,,,,
2009,20-34 years,63105881,9940,15.8,,,,,,
2009,35-69 years,132693708,15340,11.6,,,,,,
2009,70+ years,27786270,3995,14.4,,,,,,
2010,<13 years,52937278,962,1.8,,,,,,
2010,13-19 years,30247014,3121,10.3,,,,,,
2010,20-34 years,62914600,9684,15.4,,,,,,
2010,35-69 years,135270594,15015,11.1,,,,,,
2010,70+ years,27957657,4171,14.9,,,,,,
2011,<13 years,52921253,908,1.7,,,,,,
2011,13-19 years,29917216,3033,10.1,,,,,,
2011,20-34 years,63965818,9633,15.1,,,,,,
2011,35-69 years,136306915,14782,10.8,,,,,,
2011,70+ years,28472279,4071,14.3,,,,,,
2012,<13 years,52855061,958,1.8,,,,,,
2012,13-19 years,29646417,2837,9.6,,,,,,
2012,20-34 years,64900433,10210,15.7,,,,,,
2012,35-69 years,137323658,15614,11.4,,,,,,
2012,70+ years,29152093,4113,14.1,,,,,,
2013,<13 years,52719631,940,1.8,,,,,,
2013,13-19 years,29551607,2543,8.6,,,,,,
2013,20-34 years,65681251,9908,15.1,,,,,,
2013,35-69 years,138067096,15298,11.1,,,,,,
2013,70+ years,30040362,4150,13.8,,,,,,
2014,<13 years,52676380,875,1.7,,,,,,
2014,13-19 years,29462818,2630,8.9,,,,,,
2014,20-34 years,66367803,9879,14.9,,,,,,
2014,35-69 years,139015319,15073,10.8,,,,,,
2014,70+ years,30864009,4206,13.6,,,,,,
2015,<13 years,52764080,946,1.8,,,,,,
2015,13-19 years,29356330,2747,9.4,,,,,,
2015,20-34 years,66762737,10608,15.9,,,,,,
2015,35-69 years,140231069,16677,11.9,,,,,,
2015,70+ years,31624778,4427,14,,,,,,
2016,<13 years,52811215,1033,2,,,,,,
2016,13-19 years,29350222,2837,9.7,,,,,,
2016,20-34 years,67142780,11368,16.9,,,,,,
2016,35-69 years,141361052,17601,12.5,,,,,,
2016,70+ years,32406486,4848,15,,,,,,
2017,<13 years,52726410,949,1.8,,,,,,
2017,13-19 years,29387954,2762,9.4,,,,,,
2017,20-34 years,67381469,10932,16.2,,,,,,
2017,35-69 years,141662252,17670,12.5,,,,,,
2017,70+ years,33964043,5037,14.8,,,,,,
2018,<13 years,52553599,890,1.7,,,,,,
2018,13-19 years,29402794,2496,8.5,,,,,,
2018,20-34 years,67504170,10761,15.9,,,,,,
2018,35-69 years,142087330,17585,12.4,,,,,,
2018,70+ years,35290306,5026,14.2,,,,,,
2019,<13 years,52266740,855,1.6,,,,,,
2019,13-19 years,29412828,2394,8.1,,,,,,
2019,20-34 years,67647658,10259,15.2,,,,,,
2019,35-69 years,142410359,17558,12.3,,,,,,
2019,70+ years,36592368,5232,14.3,,,,,,
2020,<13 years,51887147,845,1.6,,,,,,
2020,13-19 years,29367308,2738,9.3,,,,,,
2020,20-34 years,67664401,11857,17.5,,,,,,
2020,35-69 years,142779669,18642,13.1,,,,,,
2020,70+ years,37785698,4570,12.1,,,,,,
